book_id	author	authordate	title	compositionyear	hathidate	genre	audience	authgender	wordcount
6422	Defoe, Daniel	1661-1731	The life, adventures, and pyracies, of the famous Captain Singleton	1720	1720	fic		m	593408
370	Defoe, Daniel	1661-1731	The Fortunes and Misfortunes of the Famous Moll Flanders	1722	1765	fic		m	704890
52603	Defoe, Daniel	1661-1731	Life of Colonel Jack.	1731	1810	fic		m	759489
12259	Defoe, Daniel	1661-1731	Memoirs of the Honourable Col. Andrew Newport, a Shropshire gentleman, who served as a cavalier	1731	1792	fic		m	588231
9611	Fielding, Henry	1707-1754	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams 	1742	1743	fic		m	362496
9609	Fielding, Henry	1707-1754	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams 	1742	1743	fic		m	401326
15455	Haywood, Eliza Fowler	1693?-1756	Life's Progress Through the Passions; Or, The Adventures of Natura	1748	1748	fic		f	381048
51967	Paltock, Robert	1697-1767	The life and adventures of Peter Wilkins	1751	1751	fic		m	791574
46346	Haywood, Eliza Fowler	1693?-1756	The history of Miss Betsy Thoughtless	1752	1752	fic		f	1278809
6098	Fielding, Henry	1707-1754	Amelia	1754	1793	fic		m	1185692
6593	Fielding, Henry	1707-1754	The history of Tom Jones: a foundling	1754	1749	fic		m	1961095
43437	Sheridan, Frances Chamberlaine	1724-1766	Memoirs of Miss Sidney Bidulph	1761	1761	fic		f	1051351
1079	Laurence, Sterne	1713-1768	The life and opinions of Tristram Shandy, gentleman	1768	1787	fic		m	1038091
4084	Smollett, Tobias	1721-1771	The adventures of Peregrine Pickle	1771	1784	fic		m	1855839
5083	Mackenzie, Henry	1745-1831	The Man of Feeling	1771	1780	fic		m	209093
2160	Smollett, Tobias	1721-1771	The expedition of Humphry Clinker	1771	1793	fic		m	850125
652	Samuel, Johnson	1709-1784	Rasselas, prince of Abyssinia	1784	1800	fic		m	220039
696	Walpole, Horace	1717-1797	The castle of Otranto	1791	1791	fic		m	212067
8223	Brown, Charles Brockden		Edgar Huntly, or, Memoirs of a Sleepwalker	1799	1827	fic		m	541622
2706	Zschokke, Heinrich	1771-1848	The Bravo of Venice	1805	1805	fic		m	201757
37908	Opie, Amelia Alderson	1769-1853.	Adeline Mowbray	1805	1810	fic		f	615100
40008	Carter, Harry		The autobiography of a Cornish smuggler	1809	1900	bio		m	173856
12669	Ferrier, Susan	1782-1854	Marriage	1818	1818	fic		f	914627
63337	Shelley, Mary Wollstonecraft	1797-1851	Valperga; or, the Life and Adventures of Castruccio, Prince of Lucca	1823	1823	fic		f	312803
63338	Shelley, Mary Wollstonecraft	1797-1851	Valperga; or, the Life and Adventures of Castruccio, Prince of Lucca	1823	1823	fic		f	301554
63339	Shelley, Mary Wollstonecraft	1797-1851	Valperga; or, the Life and Adventures of Castruccio, Prince of Lucca	1823	1823	fic		f	277553
37059	Bell, Henry Glassford,		Life of Mary Queen of Scots	1831		bio		m	538170
49332	Moore, Thomas	1779-1852.	The Epicurean	1831	1831	fic		m	317274
21577	Marryat, Frederick	1792-1848	Peter Simple	1833	1834	fic	juv	m	927853
51932	Kemble, Fanny,		Journal of a residence in America	1835		bio		f	786511
33478	Kennedy, John Pendleton	1795-1870.	Horse-shoe Robinson	1835	1835	fic		m	1254890
53707	Goodwin, William	1756-1836.	St. Leon	1836	1992	fic		m	1053640
52072	Stone, William L.		Life of Joseph Brant--Thayendanegea	1838		bio		m	1258307
46709	Grimaldi, Joseph,		Memoirs of Joseph Grimaldi	1838		bio		m	720834
56586	Dickens, Charles	1812-1870.	Oliver Twist	1839	1839	fic		m	769860
51665	Taylor, Meadows	1808-1876.	Tippoo Sultaun	1840	1880	fic		m	1153570
1880	Cooper, James Fenimore	1789-1851	The Pathfinder; or, the Inland Sea	1840	1840	fic		m	982119
32340	Lever, Charles James	1806-1872.	The O'Donoghue;	1845	1845	fic		m	1001513
59236	Ingoldsby, Thomas	1788-1845.	The Ingoldsby legends	1845	1848	fic		m	1073287
36626	Ingemann, Bernhard Severin	1789-1862.	The childhood of King Erik Menved. An historical romance	1846	1846	fic		m	1206893
55347	Colmache, Édouard		Reminiscences of Prince Talleyrand. Edited from the papers of the late M. Colmache, private secretary to the prince	1848	1848	bio		m	425111
55093	Ruxton, George Frederick Augustus	1820-1848.	Life in the Far West	1848	1972	bio		m	452226
31210	Cooper, James Fenimore	1789-1851.	The redskins; or, Indian and Injin: being the conclusion of the Littlepage manuscripts	1849	1849	fic		m	545876
33469	Lever, Charles James	1806-1872.	Roland Cashel	1850	1850	fic		m	768911
56665	Shelley, Mary Wollstonecraft	1797-1851.	Tales and stories	1851	1891	fic		f	729425
44235	Dennistoun, James,		Memoirs of the Dukes of Urbino, illustrating the arms, arts, and literature of Italy, from 1440 to 1630	1851		bio		m	1013344
57539	Gaskell, Elizabeth Cleghorn	1810-1865.	Cranford	1853	1853	fic		f	431560
40205	Abbott, Jacob,		History of Cleopatra, Queen of Egypt	1854		bio		u	348944
55071	Stratton, Royal B	d. 1875.	Captivity of the Oatman girls:	1858	1858	bio		m	428294
53241	Hughes, Thomas	1822-1896.	The scouring of the White Horse; or, The long vacation ramble of a London clerk	1859	1859	fic		m	387261
43076	Stowe, Harriet Beecher	1811-1896.	Agnes of Sorrento	1862	1862	fic		f	665041
34990	Thoreau, Henry David	1817-1862.	Canoeing in the wilderness	1862	1916	bio		m	182446
32089	Mayer, Brantz,		Memoir of Jared Sparks, LL.D	1867		bio		u	47172
35213	Reid, Mayne	1818-1883.	Afloat in the forest	1867	1867	fic		m	523638
42101	Castlemon, Harry	1842-1915.	Frank on the prairie	1869	1869	fic	juv	m	279423
36928	Hall, Edward B.		Memoir of Mary L. Ware, wife of Henry Ware, Jr	1869		bio		m	776452
44791	Stowe, Harriet Beecher,		Lady Byron vindicated	1870		bio		f	572187
41286	Oliphant, Mrs. (Margaret)	1828-1897.	Miss Marjoribanks	1870	1870	fic		f	1132678
30555	Stretton, Hesba	1832-1911.	Little Meg's children	1870	1870	fic	juv	f	124286
27712	Trollope, Anthony	1815-1882.	Sir Harry Hotspur of Humblethwaite	1871	1871	fic		m	378981
52304	Bernard, Frédéric		Wonderful escapes	1871	1871	bio		m	555569
40010	Stoddard, Charles Warren	1843-1909.	Summer cruising in the South Seas	1873	1873	bio		m	488892
31274	Trollope, Anthony	1815-1882.	Lady Anna	1873	1876	fic		m	744444
49154	Smiles, Samuel,		Life of a Scotch naturalist	1877		bio		m	716584
53031	Habberton, John	1842-1921.	The Barton experiment	1877	1877	fic		m	227198
27710	Smiles, Samuel,		Lives of the engineers	1879		bio		m	806948
27223	Coolidge, Susan	1835-1905.	Eyebright	1879	1894	fic	juv	f	276919
43552	Beerbohm, Julius	1854-1906.	Wanderings in Patagonia;	1881	1881	bio		m	413634
48396	Bates, Arlo	1850-1918.	Patty's perversities	1881	1881	fic		m	416763
54424	Trollope, Anthony	1815-1882.	Lotta Schmidt and other stories	1882		fic		m	419863
30100	Trollope, Anthony	1815-1882.	Marion Fay	1882	1993	fic		m	1128101
55222	Montgomery, Florence	1843-1923.	Misunderstood	1882	1882	fic	juv	f	256079
36847	Blind, Mathilde,		George Eliot	1883		bio		f	356055
47209	Tyndall, John,		Hours of exercise in the Alps	1883		bio		m	621517
32511	Howe, Julia Ward,		Margaret Fuller (Marchesa Ossoli)	1883		bio		f	413923
47643	Gilchrist, Anne Burrows	1828-1885.	Mary Lamb	1883	1883	fic		f	427592
28856	Dodge, Mary Mapes	1830-1905.	Donald and Dorothy	1883	1883	fic	juv	f	463607
37878	Brown, E. E.		Life of Oliver Wendell Holmes	1884		bio		u	356932
37788	Black, William,		Judith Shakespeare;	1884		fic		m	802337
50129	Stowe, Harriet Beecher	1811-1896.	Sam Lawson's Oldtown fireside stories	1884	1884	fic		f	302380
43982	Church, Alfred John	1829-1912.	Stories of the Old world	1884	1884	fic	juv	m	601010
36965	Miller, Florence Fenwick,		Harriet Martineau	1885		bio		f	418184
34730	Allen, Grant,		Charles Darwin	1885		bio		m	334737
38888	Lynch, Lawrence L		Out of a labyrinth	1885	1885	fic		m	504564
30530	Kielland, Alexander Lange	1849-1906.	Skipper Worse	1885	1885	fic		m	300959
56562	Stevenson, Robert Louis	1850-1894.	Kidnapped;	1886	1886	fic	juv	m	423286
56605	Duffy, Bella.		Madame de Staël	1887		bio		f	392990
51738	Castlemon, Harry	1842-1915.	Julian Mortimer;	1887	1887	fic	juv	m	481060
28380	Bettany, George Thomas,		Life of Charles Darwin	1887		bio		m	371848
51103	Hill, Grace Livingston	1865-1947.	A Chautauqua idyl	1887	1887	fic		f	58156
33564	O'Rell, Max	1848-1903.	John Bull, junior	1888	1888	fic	juv	m	195214
39782	Guiney, Louise Imogen	1861-1920.	Brownies and bogles	1888	1888	fic		m	143273
50698	Harland, Henry	1861-1905.	My Uncle Florimond	1888	1888	fic		m	156454
44262	Alcock, Deborah	1835-1913.	The Spanish brothers	1888	1891	fic		f	705434
36277	Oliphant, Laurence	1829-1888.	Piccadilly;	1888	1903	fic		m	393271
39012	Bolton, Sarah Knowles,		Famous American statesmen	1888		bio		f	579272
28992	Gay, Sydney Howard,		James Madison	1889		bio		u	543712
39203	Barrie, J. M.		An Edinburgh eleven	1889		bio		u	104162
36173	Torrey, Bradford	1843-1912.	A rambler's lease	1889	1889	bio		m	252164
27780	Stevenson, Robert Louis	1850-1894.	Treasure Island	1889	1889	fic	juv	m	369846
48630	Carroll, Lewis	1832-1898.	Sylvie and Bruno	1889	1889	fic		m	381666
27923	Jewett, Sarah Orne	1849-1909.	Betty Leicester	1889	1889	fic		f	310202
42756	Dowling, Richard		An isle of Surrey	1889	1889	fic		m	568362
38049	Alcott, Louisa May,		Louisa May Alcott	1890		bio		f	647744
57472	Burney, Fanny	1752-1840.	Fanny Burney and her friends	1890	1890	bio		m	628203
41764	Bates, Arlo	1850-1918.	Albrecht	1890	1890	fic		m	299155
29415	Avery, Harold	1867-1943.	Soldiers of the queen	1890	1890	fic		m	356212
54608	Alger, Horatio	1832-1899.	Ralph Raymond's heir	1890	1900	fic	juv	m	311266
55378	Hume, Fergus W	1868-	Miss Mephistopheles	1890	1890	fic		m	362331
58723	Barine, Arvède,		Bernardin de St. Pierre	1893		bio		u	287562
48795	Carroll, Lewis	1832-1898.	Sylvie and Bruno concluded	1893	1893	fic		m	441158
57666	Bolton, Sarah Knowles,		Famous leaders among men	1894		bio		f	674487
35997	Kipling, Rudyard	1865-1936.	The jungle book	1894	1894	fic	juv	m	286014
36294	Ebers, Georg	1837-1898.	Cleopatra	1894	1894	fic		m	922236
54218	Giberne, Agnes	1845-1939.	A lady of England	1895	1895	bio		f	1103142
46345	Buchan, John	1875-1940.	Sir Quixote of the Moors	1895	1895	fic		m	139941
29849	Coffin, Charles Carleton	1823-1896.	Daughters of the revolution and their times, 1769-1776;	1895	1895	fic		m	559997
27553	Reid, Stuart J.		Lord John Russell	1895		bio		u	721056
45708	Torrey, Bradford	1843-1912.	Spring notes from Tennessee	1896	1896	bio		m	249281
27779	Stuart, Ruth McEnery	1856-1917.	Solomon Crow's Christmas pockets	1896	1896	fic		f	208266
43169	Molesworth, Mrs	1842-1921.	Philippa	1896	1896	fic	juv	f	458508
53097	Corelli, Marie	1855-1924.	The murder of Delicia	1896	1896	fic		f	322465
32642	Smeaton, William Henry Oliphant,		Allan Ramsay	1896		bio		m	245733
42857	Wordsworth, Dorothy,		Journals of Dorothy Wordsworth	1897		bio		f	543510
54096	Griffith, George Chetwynd		Olga Romanoff	1897	1897	fic		m	739811
51788	Habberton, John	1842-1921.	Trif and Trixy	1897	1897	fic		m	342069
30970	Allen, Grant	1848-1899.	Miss Cayley's adventures	1899	1899	fic		m	477481
41795	Pease, Howard	1894-1974.	Tales of Northumbria	1899	1899	fic		m	229006
33185	Moscheles, Felix,		Fragments of an autobiography	1899		bio		m	547949
44949	Haldane, Elizabeth Sanderson,		James Frederick Ferrier	1899		bio		f	264952
52962	Dix, Beulah Marie	1876-1970.	Hugh Gwyeth;	1899	1899	fic	juv	f	555237
52599	Rathborne, St. George	1854-1938.	Miss Fairfax of Virginia;	1899	1899	fic		m	425331
54615	Lagerlöf, Selma		The miracles of Antichrist;	1899	1899	fic		f	547567
41917	Sedgwick, Anne Douglas	1873-1935.	The confounding of Camelia	1899	1899	fic		f	428728
49648	Page, Thomas Nelson	1853-1922.	Red Rock;	1899	1899	fic		m	1069067
30749	Galt, John	1779-1839.	Ringan Gilhaize	1899	1823	fic		m	928995
53826	Gibbons, Louise Elise		Janet, or, The Christmas stockings	1899	1899	fic	juv	m	38426
27759	Cruttwell, Maud.		Luca Signorelli	1899		bio		f	232146
44630	Lagerlöf, Selma		From a Swedish homestead	1901	1901	fic		f	470359
33537	Morris, Clara,		Life on the stage	1901		bio		f	741206
33402	Higginson, Thomas Wentworth,		Henry Wadsworth Longfellow	1902		bio		m	438728
47006	Tappan, Eva March	1854-1930.	In the days of Queen Elizabeth	1902	1902	bio		f	314014
43696	MacLane, Mary	1881-1929.	The story of Mary MacLane	1902	1902	bio		f	250452
31804	Seawell, Molly Elliot	1860-1916.	Francezka	1902	1902	fic		f	705981
46517	Serao, Mathilde	1856-1927.	The conquest of Rome	1902	1902	fic		f	501967
38710	Potter, Margaret Horton	1881-1911.	Istar of Babylon	1902	1902	fic		f	886608
42358	Castlemon, Harry	1842-1915.	Frank at Don Carlos' rancho	1902	1902	fic	juv	m	300137
29751	Huneker, James	1857-1921.	Melomaniacs	1902	1902	fic		m	453458
45619	Smith, Lucy,		History of the Prophet Joseph	1902		bio		f	559401
58310	Norgate, Kate.		John Lackland	1902		bio		f	719333
37180	Lee, Vernon	1856-1935.	Penelope Brandling	1903	1903	fic		f	119798
39915	Roosevelt, Theodore,		Gouverneur Morris;	1903		bio		m	493455
55471	Lewis, Alfred Henry	1857-1914.	The Black Lion inn	1903	1903	fic		m	485846
35335	McCutcheon, George Barr	1866-1928.	The Sherrods	1903	1903	fic		m	398194
51468	Gibbs, George	1870-1942.	The love of Monsieur	1903	1903	fic		m	289734
35576	Tappan, Eva March	1854-1930.	In the days of Queen Victoria	1903	1903	bio		f	386104
38418	Longstreet, James,		From Manassas to Appomattox;	1903		bio		m	1410926
39927	Thwaites, Reuben Gold,		Daniel Boone	1903		bio		m	335694
38020	Carryl, Guy Wetmore	1873-1904.	The transgression of Andrew Vane, a novel	1904	1904	fic		m	438552
42476	Sessions, Frederick.		Literary celebrities of the English lake-district	1905		bio		m	344802
28366	Lane, Elinor Macartney	d. 1909.	Nancy Stair	1905	1905	fic		f	403954
46102	Daniels, Mabel W.		An American girl in Munich	1905		bio		f	252995
53905	Deledda, Grazia	1871-1936.	Nostalgia	1905	1905	fic		f	449239
51644	Glyn, Elinor	1864-1943.	The vicissitudes of Evangeline; a novel	1905	1905	fic		f	260680
55328	Barr, Robert	1850-1912.	The speculations of John Steele	1905	1905	fic		m	450497
39130	Duncan, Norman	1871-1916.	Dr. Grenfell's parish	1905	1905	bio		m	141765
49630	Hope, Anthony	1863-1933.	Tales of two people	1907	1907	fic		m	569158
49979	Bowen, Marjorie	1888-1952.	The Master of Stair	1907	1907	fic		f	524558
48637	Perryman, F. M		Pioneer life in Illinois	1907	1907	bio		m	76823
58125	Johnson, Willis Fletcher,		Colonel Henry Ludington	1907		bio		m	364864
51964	Moore, Frank Frankfort,		A Georgian pageant	1908		fic		m	485461
45206	Durham, Robert Lee	1870-	The call of the South	1908	1908	fic		m	681282
43607	Holland, Rupert Sargent,		Builders of united Italy	1908		bio		m	461055
30487	Marrs, William Taylor		Confessions of a neurasthenic	1908	1908	bio		m	116044
41177	Remington, Frederic	1861-1909.	John Ermine of the Yellowstone	1909	1913	fic		m	362179
41953	Casson, Herbert Newton,		Cyrus Hall McCormick	1909		bio		m	291576
42136	Sharp, Evelyn	1869-1955.	Rebel women	1910	1910	fic		f	169667
32772	Kipling, Rudyard	1865-1936.	Rewards and fairies	1910	1910	fic	juv	m	405122
27661	Reed, Myrtle	1874-1911.	Master of the vineyard	1910	1910	fic		f	453439
31472	Tracy, Louis	1863-1928.	Cynthia's chauffeur	1910	1910	fic		m	474935
49003	Harland, Marion,		Marion Harland's autobiography;	1910		bio		u	862643
35418	Moses, Belle.		Lewis Carroll in wonderland and at home	1910		bio		f	391346
42147	Whiting, Lilian,		Louise Chandler Moulton	1910		bio		f	352723
41616	Mixson, Frank M		Reminiscences of a private	1910	1910	bio		m	176519
30088	Brooks, Amy		Dorothy Dainty at the mountains	1911	1911	fic	juv	f	181555
51299	Jenkins, Hester Donaldson,		Ibrahim Pasha	1911		bio		f	222590
52154	Johnston, Mary	1870-1936.	Cease firing	1912	1912	fic		f	1019440
51909	Lewis, Alfred Henry	1857-1914.	The Apaches of New York	1912	1912	fic		m	333793
52240	Burnham, Clara Louise	1854-1927.	The Inner Flame	1912	1912	fic		f	523286
32084	Roosevelt, Wyn	-1870	Frontier boys in the South Seas	1912	1912	fic	juv	m	253110
28820	Scott, Leroy	1875-1929.	Counsel for the defense	1912	1912	fic		m	497809
38294	Haynes, Henrietta.		Henrietta Maria	1912		bio		f	673371
33345	Kennard, Nina H.,		Lafcadio Hearn	1912		bio		f	646111
54400	Gaunt, Mary	1861-1942.	Alone in West Africa	1912	1912	bio		f	648731
30733	Kelly, Florence Finch	1858-1939.	The fate of Felix Brand	1913	1913	fic		f	348263
47750	Reynolds, Robert Rice		Wanderlust	1913	1913	bio		m	158681
36134	Coolidge, Dane	1873-1940.	Bat Wing Bowles	1914	1914	fic		m	353255
34732	Bramah, Ernest	1869?-1942.	Max Carrados	1914	1914	fic		m	392774
48108	Reed, John	1887-1920.	Insurgent Mexico	1914	1914	bio		m	455087
43423	Cannan, Gilbert	1884-1955.	Old Mole	1914	1914	fic		m	493461
40565	Allen, George Hoyt	1857-	A Yankee in the Far East	1914	1915	bio		m	242060
57110	Horne, C. Silvester		David Livingstone	1914		bio		m	249687
47896	Saxton, Evelyn		Droll stories of Isthmian life	1914	1914	bio		f	271842
35557	Metelerkamp, Sanni		Outa Karel's stories	1914	1914	fic		f	141669
34669	Abbott, Henry	1850-	Lost Pond	1915	1915	bio		m	23955
47315	Campbell, R. W		Private Spud Tamson	1915	1915	fic		m	299471
29868	Hewlett, Maurice Henry	1861-1923.	Love and Lucy	1916	1916	fic		m	334626
28271	Sawyer, Ruth	1880-1970.	Seven miles to Arden	1916	1916	fic		f	288151
40893	Glyn, Elinor	1864-1943.	The career of Katherine Bush	1916	1916	fic		f	604816
35484	Bonner, Geraldine	1870-1930.	The Black Eagle mystery	1916	1916	fic		f	369999
32144	Barr, Amelia Edith Huddleston	1831-1919.	Jan Vedder's wife	1916	1916	fic		f	347699
46651	Morlae, Edward		A soldier of the Legion	1916	1916	bio		m	106369
39339	Terhune, Albert Payson	1872-1942.	Superwomen	1916	1916	bio		m	361719
35119	Gallishaw, John	1890-	Trenching at Gallipoli;	1916	1916	bio		m	242148
32835	Farrar, Geraldine.		Geraldine Farrar	1916		bio		f	139005
57149	Sanderson, Margaret Love		The Camp Fire girls at Driftwood Heights	1918	1918	fic	juv	f	287307
30312	Stocking, Charles Francis	b. 1873.	Carmen Ariza	1918	1918	fic		m	2452798
39056	Titus, Harold	1888-1967.	Bruce of the Circle A	1918	1918	fic		m	398561
39072	Broun, Heywood	1888-1939.	The A.E.F.;	1918	1918	bio		m	308007
41324	Sterne, Elaine	-1894	Over the seas for Uncle Sam	1918	1918	bio		f	196263
42451	Parkman, Mary Rosetta,		Heroines of service	1918		bio		f	288832
37686	Levy, T. Aaron,		Lincoln, the politician	1918		bio		m	404174
28694	Hough, Emerson	1857-1923.	Young Alaskans in the far North	1918	1918	fic	juv	m	287735
43864	Gregor, Elmer Russell	1878-	Running Fox	1918	1918	fic	juv	m	328393
34263	O'Donnell, Elliott	1872-1965.	The Banshee	1920	1920	fic		m	301926
44982	McKenna, Stephen	1888-1967.	Lady Lilith	1920	1920	fic		m	558993
29598	Hawley, Mabel C		Four little Blossoms at Brookside Farm	1920	1920	fic	juv	m	162539
29865	Abbott, Jane	b. 1881.	Highacres	1920	1920	fic	juv	f	359466
48446	Loria, Achille,		Karl Marx	1920		bio		u	144385
37343	Yeats-Brown, Francis,		Caught by the Turks	1920		bio		m	333461
40919	Scoville, Samuel	b. 1872.	Everyday adventures	1920	1920	bio		m	360458
33498	Rhodes, Eugene Manlove	1869-1934.	Bransford of Rainbow Range	1920	1920	fic		m	301538
49957	Judson, Clara Ingram	1879-1960.	Mary Jane in New England	1921	1921	fic		f	187300
37710	Baldwin, Faith	1893-1978.	Mavis of Green Hill	1921	1921	fic		f	396947
38018	Roy, Lillian Elizabeth	1868-1932.	Girl scouts in the Rockies	1921	1921	fic	juv	f	293873
37800	Roy, Lillian Elizabeth	1868-1932.	Girl Scouts at Dandelion Camp	1921	1921	fic	juv	f	300083
56178	Golding, Louis	1895-1958.	Forward from Babylon	1921	1921	fic		m	498595
52019	Singmaster, Elsie	1879-1958.	Ellen Levis;	1921	1921	fic		f	560538
58009	Sheridan, Clare	1885-1970.	Russian portraits	1921	1921	bio		f	240794
36534	Tetley, William C		Blanco y Colorado;	1921	1921	bio		m	376000
38447	O'Neil, Owen Rowe		Adventures in Swaziland;	1921	1921	bio		m	543284
42281	Keller, Elizabeth Leavitt	1839-	Walt Whitman in Mickle Street	1921	1921	bio		m	248914
34440	Levinger, Lee J.		A Jewish chaplain in France	1921		bio		m	364113
46220	Hamsun, Knut	1859-1952.	Mothwise	1921	1921	fic			197409
31542	Rolland, Romain	1866-1944.	Pierre and Luce	1922	1922	fic		m	123036
36754	Larsen, Hanna Astrup,		Knut Hamsun	1922		bio		f	171858
32371	Blunden, Edmund		The Bonadventure;	1922	1922	bio		m	270344
50553	Gordon, Elizabeth	1866-1922.	Buddy Jim	1922	1922	fic	juv	m	115922
58666	Bennett, Arnold	1867-1931.	Riceyman Steps	1923	1923	fic		m	542880
53637	Lester, Pauline		Marjorie Dean Macy	1926	1926	fic	juv	f	326205
48924	Pennell, Joseph	1857-1926.	Joseph Pennell's pictures of Philadelphia: reproductions of sixty-four lithographs made by him	1926	1926	bio		m	39641
